Date,Open,High,Low,Close,Adj Close,Volume
2023-09-05,10350.0,10412.7001953125,10245.7998046875,10262.099609375,10166.0771484375,507107
2023-09-06,10260.0,10260.0,10130.150390625,10178.849609375,10083.6064453125,663758
2023-09-07,10150.0,10300.900390625,10150.0,10280.75,10184.5537109375,445805
2023-09-08,10399.0,10400.0,10300.0,10332.0,10235.3232421875,439721
2023-09-11,10345.0,10550.0,10344.0,10533.849609375,10435.2841796875,598050
2023-09-12,10544.0,10568.400390625,10405.0,10503.599609375,10405.3173828125,568773
2023-09-13,10500.0,10536.400390625,10440.0,10473.400390625,10375.4013671875,301707
2023-09-14,10465.0498046875,10580.0,10431.0498046875,10488.150390625,10390.0126953125,501196
2023-09-15,10489.2998046875,10550.0,10477.400390625,10525.25,10426.765625,544616
2023-09-18,10500.0498046875,10623.650390625,10494.0498046875,10522.099609375,10423.64453125,430213
2023-09-20,10494.0498046875,10494.0498046875,10337.5498046875,10346.75,10249.935546875,545106
2023-09-21,10343.0498046875,10345.0,10206.5,10284.2998046875,10188.0703125,577252
2023-09-22,10378.0,10566.75,10308.4501953125,10535.150390625,10436.5732421875,986206
2023-09-25,10535.150390625,10720.0,10530.0,10588.2001953125,10489.126953125,756801
2023-09-26,10631.900390625,10633.9501953125,10526.5498046875,10556.650390625,10457.8720703125,452503
2023-09-27,10550.0,10706.0,10525.0,10680.75,10580.810546875,458359
2023-09-28,10650.5,10705.0,10532.0498046875,10565.349609375,10466.490234375,598144
2023-09-29,10541.0,10705.5,10510.5498046875,10610.599609375,10511.31640625,481725
2023-10-03,10709.7998046875,10709.7998046875,10303.2998046875,10346.900390625,10250.0849609375,623006
2023-10-04,10283.900390625,10283.900390625,10090.0,10129.849609375,10035.064453125,407793
2023-10-05,10181.9501953125,10270.9501953125,10109.0,10210.150390625,10114.6142578125,377196
2023-10-06,10283.0,10332.9501953125,10260.0,10302.0498046875,10205.6533203125,335700
2023-10-09,10250.0,10334.400390625,10183.9501953125,10244.7998046875,10148.939453125,230083
2023-10-10,10290.0,10417.0,10270.099609375,10375.0,10277.9208984375,348342
2023-10-11,10349.9501953125,10440.0,10340.0498046875,10412.099609375,10314.673828125,193526
2023-10-12,10460.0,10624.5498046875,10420.2001953125,10580.900390625,10481.8955078125,569237
2023-10-13,10534.0498046875,10745.0498046875,10529.7998046875,10727.5498046875,10627.1728515625,625954
2023-10-16,10729.9501953125,10810.849609375,10665.0,10704.5,10604.337890625,304196
2023-10-17,10730.0,10797.849609375,10565.2998046875,10750.7998046875,10650.205078125,474718
2023-10-18,10755.0,10809.849609375,10711.0498046875,10788.4501953125,10687.5029296875,267435
2023-10-19,10700.0,10798.7001953125,10700.0,10771.7001953125,10670.9091796875,286284
2023-10-20,10763.099609375,10799.0,10695.7001953125,10725.650390625,10625.291015625,232512
2023-10-23,10681.0,10724.650390625,10530.4501953125,10553.650390625,10454.900390625,227925
2023-10-25,10520.0,10647.4501953125,10501.599609375,10588.849609375,10489.76953125,401105
2023-10-26,10539.0,10594.0,10392.5,10424.150390625,10326.6123046875,506129
2023-10-27,10440.0498046875,10845.0,10440.0,10560.7001953125,10461.8837890625,1116713
2023-10-30,10700.0,10700.0,10245.0,10397.7001953125,10300.4091796875,991168
2023-10-31,10490.0,10490.0,10321.0,10392.2998046875,10295.0595703125,439996
2023-11-01,10390.099609375,10422.2001953125,10188.650390625,10227.75,10132.048828125,699116
2023-11-02,10290.2998046875,10345.0,10201.0,10303.599609375,10207.189453125,569194
2023-11-03,10318.0,10370.0,10241.0,10276.2998046875,10180.14453125,517582
2023-11-06,10338.9501953125,10338.9501953125,10252.0,10284.849609375,10188.6142578125,490459
2023-11-07,10300.0,10326.0,10235.849609375,10253.2998046875,10157.3603515625,264935
2023-11-08,10320.0,10340.4501953125,10260.599609375,10322.2998046875,10225.7138671875,287006
2023-11-09,10349.9501953125,10449.599609375,10316.75,10400.349609375,10303.0341796875,310536
2023-11-10,10375.0,10416.400390625,10320.0,10388.7998046875,10291.591796875,206395
2023-11-13,10429.0,10429.0,10363.650390625,10398.400390625,10301.1025390625,261891
2023-11-15,10497.0,10497.0,10375.0498046875,10456.0498046875,10358.212890625,436538
2023-11-16,10480.0,10543.7001953125,10409.2001953125,10484.5,10386.396484375,488715
2023-11-17,10500.0,10606.7998046875,10499.150390625,10523.5,10425.0322265625,403772
2023-11-20,10500.0,10593.349609375,10500.0,10566.25,10467.3818359375,234246
2023-11-21,10619.0,10619.0,10500.0,10535.150390625,10436.5732421875,312242
2023-11-22,10550.0,10551.25,10420.0,10494.5498046875,10396.3525390625,378891
2023-11-23,10487.7998046875,10525.0,10394.0498046875,10488.5,10390.359375,453820
2023-11-24,10505.9501953125,10566.5,10462.0,10515.650390625,10417.255859375,380306
2023-11-28,10539.9501953125,10556.400390625,10506.0,10537.5498046875,10438.9501953125,268026
2023-11-29,10570.0,10634.5498046875,10525.7001953125,10599.25,10500.0732421875,343341
2023-11-30,10581.0,10649.0,10546.099609375,10608.7001953125,10509.4345703125,665660
2023-12-01,10608.0,10759.0,10533.0498046875,10585.7001953125,10486.650390625,591519
2023-12-04,10695.0,10695.099609375,10425.0,10599.4501953125,10500.271484375,625235
2023-12-05,10650.900390625,10770.0,10563.400390625,10721.900390625,10621.576171875,580996
2023-12-06,10721.900390625,10748.9501953125,10590.0,10625.75,10526.3251953125,464163
2023-12-07,10790.0,10932.849609375,10635.0,10696.650390625,10596.5625,704413
2023-12-08,10730.0,10748.0,10551.0,10618.5498046875,10519.1923828125,548373
2023-12-11,10630.0,10638.0,10500.0498046875,10541.75,10443.111328125,579749
2023-12-12,10620.0,10624.0,10301.099609375,10338.400390625,10241.6640625,1088687
2023-12-13,10360.0,10412.900390625,10260.0,10380.0498046875,10282.923828125,603469
2023-12-14,10440.0,10495.0,10312.2998046875,10353.2001953125,10256.3251953125,635475
2023-12-15,10459.0,10476.75,9832.599609375,10286.400390625,10190.150390625,1244681
2023-12-18,10295.0,10350.900390625,10226.2001953125,10319.599609375,10223.0390625,652498
2023-12-19,10319.599609375,10377.0,10206.2001953125,10233.599609375,10137.84375,585734
2023-12-20,10240.0,10309.0498046875,9990.0,10081.25,9986.919921875,964051
2023-12-21,10000.0,10099.25,9900.0,10012.849609375,9919.1591796875,739806
2023-12-22,10050.0,10318.2998046875,10030.0,10217.150390625,10121.548828125,652545
2023-12-26,10270.0,10281.2001953125,10114.7001953125,10270.650390625,10174.5478515625,395273
2023-12-27,10286.0,10305.349609375,10230.0,10288.5,10192.23046875,397675
2023-12-28,10310.9501953125,10310.9501953125,10187.0,10271.599609375,10175.48828125,584234
2023-12-29,10280.4501953125,10396.650390625,10273.0,10302.349609375,10205.951171875,705227
2024-01-01,10345.0,10345.0,10214.650390625,10283.2998046875,10187.0791015625,411724
2024-01-02,10283.2998046875,10294.7001953125,10151.0498046875,10197.75,10102.330078125,776837
2024-01-03,10200.0,10210.0,10065.0,10077.650390625,9983.3544921875,521046
2024-01-04,10100.0,10120.0,9985.5498046875,10015.2998046875,9921.5869140625,711733
2024-01-05,10010.650390625,10075.0,9970.0,10017.0,9923.271484375,673131
2024-01-08,10005.0,10128.9501953125,9911.900390625,9946.7001953125,9853.62890625,600153
2024-01-09,9975.0,10042.650390625,9890.0,10024.099609375,9930.3046875,666469
2024-01-10,10049.9501953125,10050.75,9950.0,10010.2001953125,9916.53515625,481699
2024-01-11,10025.099609375,10124.099609375,10000.0,10011.099609375,9917.42578125,1024815
